,Suburb,Address,Rooms,Type,Price,Distance,Postcode,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname
49,Abbotsford,48 Abbotsford St,3,h,1447500.0,2.5,3067,3,1,166,Yarra City Council,-37.8017,145.0001,Northern Metropolitan
50,Abbotsford,116/56 Nicholson St,1,u,457000.0,2.5,3067,1,1,0,Yarra City Council,-37.8078,144.9965,Northern Metropolitan
51,Abbotsford,159 Park St,2,h,1135000.0,2.5,3067,2,2,98,Yarra City Council,-37.8005,144.9952,Northern Metropolitan
53,Abbotsford,31 Turner St,4,h,1542000.0,2.5,3067,3,1,0,Yarra City Council,-37.7994,144.9965,Northern Metropolitan
55,Abbotsford,166 Gipps St,3,h,1290000.0,2.5,3067,2,2,147,Yarra City Council,-37.805,144.9943,Northern Metropolitan
56,Abbotsford,60 Stafford St,3,h,1290000.0,2.5,3067,1,1,168,Yarra City Council,-37.8007,144.9958,Northern Metropolitan
57,Abbotsford,11/205 Gipps St,1,u,470000.0,2.5,3067,1,1,0,Yarra City Council,-37.8055,144.9961,Northern Metropolitan
58,Abbotsford,47 Studley St,2,h,1180000.0,2.5,3067,1,0,162,Yarra City Council,-37.8016,144.9956,Northern Metropolitan
59,Abbotsford,45 Yarra St,3,h,1195000.0,2.5,3067,2,1,120,Yarra City Council,-37.8022,144.9954,Northern Metropolitan
61,Abbotsford,200 Nicholson St,2,h,1012500.0,2.5,3067,1,0,182,Yarra City Council,-37.8021,144.9976,Northern Metropolitan
63,Abbotsford,27 Charles St,2,h,1030000.0,2.5,3067,1,1,172,Yarra City Council,-37.8086,144.9946,Northern Metropolitan
66,Airport West,154 Halsey Rd,3,t,840000.0,13.5,3042,2,1,303,Moonee Valley City Council,-37.718,144.878,Western Metropolitan
67,Airport West,50 Bedford St,3,h,730000.0,13.5,3042,2,1,0,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan
68,Airport West,50 Bedford St,3,h,770000.0,13.5,3042,2,1,0,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan
70,Airport West,23 Hart St,2,h,603000.0,13.5,3042,1,1,272,Moonee Valley City Council,-37.7294,144.888,Western Metropolitan
71,Airport West,1/80 Hawker St,3,t,700000.0,13.5,3042,2,2,239,Moonee Valley City Council,-37.7218,144.8837,Western Metropolitan
72,Airport West,1/37 Hillside Gr,3,h,600000.0,13.5,3042,1,1,290,Moonee Valley City Council,-37.7273,144.8744,Western Metropolitan
73,Airport West,2/49 McIntosh St,2,u,500000.0,13.5,3042,1,1,168,Moonee Valley City Council,-37.7215,144.8864,Western Metropolitan
79,Airport West,54 Marshall Rd,3,h,720000.0,13.5,3042,1,1,620,Moonee Valley City Council,-37.7173,144.8872,Western Metropolitan
80,Airport West,36 Roberts Rd,4,h,785000.0,13.5,3042,1,2,597,Moonee Valley City Council,-37.7259,144.8792,Western Metropolitan
81,Airport West,11 Harrington Rd,6,h,725000.0,13.5,3042,3,2,976,Moonee Valley City Council,-37.7239,144.8735,Western Metropolitan
82,Airport West,2/252 Parer Rd,2,t,450000.0,13.5,3042,1,1,110,Moonee Valley City Council,-37.7216,144.871,Western Metropolitan
83,Airport West,3/19 Hart St,2,u,515000.0,13.5,3042,1,1,141,Moonee Valley City Council,-37.7298,144.8883,Western Metropolitan
85,Airport West,2/62 Clydesdale Rd,2,u,530000.0,13.5,3042,1,1,120,Moonee Valley City Council,-37.7234,144.8792,Western Metropolitan
86,Airport West,3 Deidre Ct,3,h,895000.0,13.5,3042,1,6,1063,Moonee Valley City Council,-37.7249,144.8728,Western Metropolitan
88,Airport West,13 Etzel St,3,h,805000.0,13.5,3042,1,1,0,Moonee Valley City Council,-37.7217,144.8783,Western Metropolitan
90,Airport West,1/43 Cameron St,3,u,752000.0,13.5,3042,1,1,265,Moonee Valley City Council,-37.7302,144.8855,Western Metropolitan
94,Airport West,145a Victory Rd,2,u,440000.0,13.5,3042,1,1,192,Moonee Valley City Council,-37.7177,144.8787,Western Metropolitan
96,Airport West,241 Parer Rd,5,h,755000.0,13.5,3042,2,2,596,Moonee Valley City Council,-37.7248,144.8699,Western Metropolitan
98,Airport West,2/40 Earl St,3,t,700000.0,13.5,3042,2,2,165,Moonee Valley City Council,-37.727,144.887,Western Metropolitan
100,Airport West,180 Parer Rd,3,h,830000.0,13.5,3042,1,2,971,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan
101,Airport West,4/54 Hawker St,2,u,462500.0,13.5,3042,1,1,164,Moonee Valley City Council,-37.7218,144.8863,Western Metropolitan
102,Airport West,43 Hillside Gr,3,h,670000.0,13.5,3042,2,2,657,Moonee Valley City Council,-37.7269,144.8742,Western Metropolitan
103,Airport West,174 Parer Rd,2,h,675000.0,13.5,3042,1,1,612,Moonee Valley City Council,-37.7187,144.8765,Western Metropolitan
104,Airport West,138 Victory Rd,3,h,1042000.0,13.5,3042,2,5,612,Moonee Valley City Council,-37.7173,144.8796,Western Metropolitan
105,Airport West,75 King St,3,h,910000.0,13.5,3042,1,1,775,Moonee Valley City Council,-37.7231,144.8835,Western Metropolitan
106,Airport West,6 Kittyhawk St,4,h,773000.0,13.5,3042,3,4,531,Moonee Valley City Council,-37.7263,144.8679,Western Metropolitan
108,Airport West,478 Fullarton Rd,3,h,810000.0,13.5,3042,3,2,555,Moonee Valley City Council,-37.7285,144.8694,Western Metropolitan
109,Airport West,144 Marshall Rd,3,h,715000.0,13.5,3042,2,2,422,Moonee Valley City Council,-37.7164,144.8792,Western Metropolitan
110,Airport West,106 Parer Rd,3,h,790000.0,13.5,3042,1,3,614,Moonee Valley City Council,-37.7194,144.8827,Western Metropolitan
112,Airport West,3/7 South Rd,3,t,540000.0,13.5,3042,2,1,161,Moonee Valley City Council,-37.7231,144.8802,Western Metropolitan
113,Airport West,37 North St,3,t,825000.0,13.5,3042,2,1,293,Moonee Valley City Council,-37.72,144.8776,Western Metropolitan
114,Airport West,10 Hilbert Rd,3,h,685000.0,13.5,3042,1,1,579,Moonee Valley City Council,-37.7226,144.8733,Western Metropolitan
116,Airport West,110 Halsey Rd,3,h,805000.0,13.5,3042,1,1,623,Moonee Valley City Council,-37.7184,144.882,Western Metropolitan
117,Airport West,2/13 North St,2,u,510000.0,13.5,3042,1,1,141,Moonee Valley City Council,-37.7202,144.8797,Western Metropolitan
118,Airport West,105a Victory Rd,3,h,612000.0,13.5,3042,2,1,212,Moonee Valley City Council,-37.7181,144.8824,Western Metropolitan
119,Airport West,117 Marshall Rd,3,h,662000.0,13.5,3042,1,2,612,Moonee Valley City Council,-37.7169,144.8815,Western Metropolitan
120,Airport West,34 Moorna Dr,4,h,978000.0,13.5,3042,3,2,532,Moonee Valley City Council,-37.7263,144.869,Western Metropolitan
122,Airport West,33 North St,3,h,720000.0,13.5,3042,1,1,585,Moonee Valley City Council,-37.72,144.878,Western Metropolitan
128,Airport West,49 Roberts Rd,4,h,765000.0,13.5,3042,1,2,509,Moonee Valley City Council,-37.7261,144.8785,Western Metropolitan
129,Airport West,85 Roberts Rd,4,h,900000.0,13.5,3042,2,3,628,Moonee Valley City Council,-37.7256,144.8739,Western Metropolitan
133,Albert Park,105 Kerferd Rd,2,h,1275000.0,3.3,3206,1,0,120,Port Phillip City Council,-37.8459,144.9555,Southern Metropolitan
134,Albert Park,85 Richardson St,2,h,1455000.0,3.3,3206,1,0,159,Port Phillip City Council,-37.845,144.9538,Southern Metropolitan
135,Albert Park,112 Beaconsfield Pde,3,h,2850000.0,3.3,3206,2,0,211,Port Phillip City Council,-37.8481,144.9499,Southern Metropolitan
136,Albert Park,94 Graham St,3,h,1850000.0,3.3,3206,2,0,128,Port Phillip City Council,-37.8452,144.9488,Southern Metropolitan
138,Albert Park,396 Montague St,2,h,1436000.0,3.3,3206,1,0,130,Port Phillip City Council,-37.8431,144.9565,Southern Metropolitan
140,Albert Park,75 Graham St,2,h,1110000.0,3.3,3206,1,0,147,Port Phillip City Council,-37.8444,144.9484,Southern Metropolitan
141,Albert Park,54 Brooke St,2,h,1550000.0,3.3,3206,1,1,167,Port Phillip City Council,-37.8405,144.9521,Southern Metropolitan
142,Albert Park,104 Richardson St,4,h,2300000.0,3.3,3206,2,1,153,Port Phillip City Council,-37.8447,144.9523,Southern Metropolitan
144,Albert Park,4a Mills St,3,t,1550000.0,3.3,3206,2,2,718,Port Phillip City Council,-37.8443,144.9598,Southern Metropolitan
145,Albert Park,1 Moubray St,3,h,1800000.0,3.3,3206,2,1,132,Port Phillip City Council,-37.8415,144.952,Southern Metropolitan
147,Albert Park,29 Faussett St,2,h,2120000.0,3.3,3206,1,1,199,Port Phillip City Council,-37.8422,144.9554,Southern Metropolitan
148,Albert Park,3 Herbert St,3,h,1800000.0,3.3,3206,1,1,253,Port Phillip City Council,-37.8443,144.9579,Southern Metropolitan
149,Albert Park,24 Kerferd Pl,3,h,1800000.0,3.3,3206,2,1,90,Port Phillip City Council,-37.8421,144.9571,Southern Metropolitan
151,Albert Park,44 Draper St,2,h,1810000.0,3.3,3206,1,0,240,Port Phillip City Council,-37.8379,144.9539,Southern Metropolitan
152,Albert Park,2 Dundas Pl,3,h,2615000.0,3.3,3206,2,1,177,Port Phillip City Council,-37.8415,144.9585,Southern Metropolitan
153,Albert Park,23 Finlay St,5,h,2100000.0,3.3,3206,2,1,237,Port Phillip City Council,-37.8436,144.9557,Southern Metropolitan
154,Albert Park,31 Richardson St,3,h,1300000.0,3.3,3206,1,0,129,Port Phillip City Council,-37.8422,144.949,Southern Metropolitan
155,Albert Park,4a Gatehouse La,3,h,1370000.0,3.3,3206,2,2,0,Port Phillip City Council,-37.8451,144.9511,Southern Metropolitan
156,Albert Park,60 Brooke St,2,h,1000000.0,3.3,3206,1,0,288,Port Phillip City Council,-37.8407,144.9523,Southern Metropolitan
158,Albert Park,70 Barrett St,3,h,2575000.0,3.3,3206,2,1,228,Port Phillip City Council,-37.8445,144.9501,Southern Metropolitan
159,Albert Park,65 Graham St,2,h,1322500.0,3.3,3206,1,0,149,Port Phillip City Council,-37.8443,144.9481,Southern Metropolitan
161,Albert Park,364 Montague St,2,h,1562500.0,3.3,3206,1,0,141,Port Phillip City Council,-37.8424,144.9562,Southern Metropolitan
162,Albert Park,86 Mills St,3,h,2000000.0,3.3,3206,2,1,211,Port Phillip City Council,-37.847,144.9575,Southern Metropolitan
165,Albert Park,129 Kerferd Rd,3,h,1900000.0,3.3,3206,1,0,209,Port Phillip City Council,-37.8468,144.9546,Southern Metropolitan
166,Albert Park,97 Page St,3,h,3010000.0,3.3,3206,2,0,147,Port Phillip City Council,-37.8473,144.9551,Southern Metropolitan
168,Albert Park,55 Withers St,4,h,2800000.0,3.3,3206,3,1,327,Port Phillip City Council,-37.8467,144.9475,Southern Metropolitan
170,Albert Park,10/140 Kerferd Rd,2,u,647000.0,3.3,3206,1,1,0,Port Phillip City Council,-37.846,144.9542,Southern Metropolitan
172,Albert Park,55 Merton St,3,h,2100000.0,3.3,3206,1,1,120,Port Phillip City Council,-37.8427,144.9546,Southern Metropolitan
176,Albert Park,49 Page St,3,h,2000000.0,3.3,3206,1,1,238,Port Phillip City Council,-37.8461,144.9528,Southern Metropolitan
177,Albert Park,13/52 Moubray St,1,u,442500.0,3.3,3206,1,0,0,Port Phillip City Council,-37.8421,144.9517,Southern Metropolitan
178,Albert Park,115 Page St,4,h,4735000.0,3.3,3206,2,1,330,Port Phillip City Council,-37.8477,144.9558,Southern Metropolitan
179,Albert Park,32 Page St,2,h,1340000.0,3.3,3206,1,0,136,Port Phillip City Council,-37.846,144.9517,Southern Metropolitan
180,Albert Park,34 Richardson St,3,h,1801000.0,3.3,3206,1,1,202,Port Phillip City Council,-37.8429,144.9493,Southern Metropolitan
181,Albert Park,2b Dundas Pl,3,h,1532000.0,3.3,3206,3,1,0,Port Phillip City Council,-37.8415,144.9585,Southern Metropolitan
182,Albert Park,22 Greig St,3,h,3755000.0,3.3,3206,2,2,325,Port Phillip City Council,-37.8413,144.95,Southern Metropolitan
183,Albert Park,27 Barrett St,4,h,2140000.0,3.3,3206,2,1,183,Port Phillip City Council,-37.8434,144.9495,Southern Metropolitan
185,Albert Park,44 Greig St,2,h,1750000.0,3.3,3206,1,1,162,Port Phillip City Council,-37.8416,144.9488,Southern Metropolitan
186,Albert Park,6 Brooke St,2,h,980000.0,3.3,3206,1,0,79,Port Phillip City Council,-37.8387,144.9519,Southern Metropolitan
190,Albert Park,227a Danks St,3,h,2030000.0,3.3,3206,2,0,152,Port Phillip City Council,-37.8488,144.9551,Southern Metropolitan
191,Albert Park,17 Reed St,3,h,1740000.0,3.3,3206,2,2,147,Port Phillip City Council,-37.8448,144.9453,Southern Metropolitan
192,Albert Park,74 Bridport St,3,h,2800000.0,3.3,3206,3,1,0,Port Phillip City Council,-37.8399,144.9577,Southern Metropolitan
193,Albert Park,9 Durham St,1,h,985000.0,3.3,3206,1,0,81,Port Phillip City Council,-37.8411,144.9497,Southern Metropolitan
195,Alphington,6 Smith St,4,h,2000000.0,6.4,3078,2,4,853,Darebin City Council,-37.7707,145.0318,Northern Metropolitan
196,Alphington,5/6 Yarralea St,3,h,1110000.0,6.4,3078,2,2,208,Darebin City Council,-37.7854,145.0325,Northern Metropolitan
197,Alphington,136A Fulham Rd,3,h,1492000.0,6.4,3078,2,2,411,Darebin City Council,-37.7713,145.0279,Northern Metropolitan
201,Alphington,44 Shiers St,4,h,1717500.0,6.4,3078,2,1,599,Darebin City Council,-37.7717,145.031,Northern Metropolitan
202,Alphington,83 Fulham Rd,5,h,2840000.0,6.4,3078,4,4,809,Darebin City Council,-37.775,145.0268,Northern Metropolitan
204,Alphington,3/19 Harker St,2,u,525500.0,6.4,3078,1,1,88,Darebin City Council,-37.7791,145.0306,Northern Metropolitan
205,Alphington,4/2 Miller St,2,t,805000.0,6.4,3078,2,3,155,Darebin City Council,-37.7804,145.0308,Northern Metropolitan
206,Alphington,2/5 Yarana Rd,2,u,465000.0,6.4,3078,1,1,0,Darebin City Council,-37.7773,145.0314,Northern Metropolitan
209,Alphington,815 Heidelberg Rd,3,h,2000000.0,6.4,3078,3,2,686,Darebin City Council,-37.78,145.0341,Northern Metropolitan
210,Alphington,44 Naroon Rd,3,h,1540000.0,6.4,3078,1,2,592,Darebin City Council,-37.7755,145.0288,Northern Metropolitan
213,Alphington,3/98 Grange Rd,2,u,820000.0,6.4,3078,1,1,183,Darebin City Council,-37.7747,145.0264,Northern Metropolitan
214,Alphington,10 Bennett St,4,h,1830000.0,6.4,3078,2,2,606,Darebin City Council,-37.7743,145.0316,Northern Metropolitan
215,Alphington,38 Bennett St,4,h,2100000.0,6.4,3078,2,2,575,Darebin City Council,-37.7723,145.0319,Northern Metropolitan
216,Alphington,2c Hamilton St,3,h,865000.0,6.4,3078,1,1,180,Darebin City Council,-37.7802,145.0243,Northern Metropolitan
217,Alphington,5/5 Yarana Rd,2,u,390000.0,6.4,3078,1,1,0,Darebin City Council,-37.7773,145.0314,Northern Metropolitan
218,Alphington,7/7 Chandler Hwy,2,t,650000.0,6.4,3078,1,0,0,Darebin City Council,-37.7848,145.025,Northern Metropolitan
219,Alphington,1/14 Fulham Rd,2,u,512000.0,6.4,3078,1,1,0,Darebin City Council,-37.7805,145.0262,Northern Metropolitan
224,Alphington,22 Lowther St,3,h,1165000.0,6.4,3078,1,2,979,Darebin City Council,-37.7792,145.029,Northern Metropolitan
226,Alphington,11 Margaret Gr,4,h,1900000.0,6.4,3078,2,2,556,Darebin City Council,-37.7844,145.0225,Northern Metropolitan
228,Alphington,6 Naroon Rd,3,h,1485000.0,6.4,3078,0,0,597,Darebin City Council,-37.7781,145.0284,Northern Metropolitan
229,Alphington,42 Shiers St,4,h,1950000.0,6.4,3078,2,3,589,Darebin City Council,-37.7719,145.0309,Northern Metropolitan
230,Altona,158 Queen St,3,h,520000.0,13.8,3018,2,1,352,Hobsons Bay City Council,-37.87,144.825,Western Metropolitan
231,Altona,59 Bracken Gr,5,h,1525000.0,13.8,3018,3,3,729,Hobsons Bay City Council,-37.8721,144.8105,Western Metropolitan
232,Altona,1/123 Blyth St,2,t,720000.0,13.8,3018,1,2,292,Hobsons Bay City Council,-37.8687,144.8197,Western Metropolitan
233,Altona,4 Blyth St,3,h,1120000.0,13.8,3018,1,2,506,Hobsons Bay City Council,-37.8693,144.8375,Western Metropolitan
234,Altona,20 Linnet St,4,h,780000.0,13.8,3018,1,4,655,Hobsons Bay City Council,-37.868,144.8154,Western Metropolitan
235,Altona,29 Rose St,4,h,1780000.0,13.8,3018,3,6,1057,Hobsons Bay City Council,-37.8681,144.819,Western Metropolitan
236,Altona,1/170 Blyth St,3,u,630000.0,13.8,3018,1,2,311,Hobsons Bay City Council,-37.8702,144.8143,Western Metropolitan
237,Altona,5/35 Grieve Pde,2,u,406000.0,13.8,3018,1,1,65,Hobsons Bay City Council,-37.8693,144.8171,Western Metropolitan
238,Altona,156 Maidstone St,3,h,660000.0,13.8,3018,1,1,602,Hobsons Bay City Council,-37.8616,144.8116,Western Metropolitan
239,Altona,11 Keeshan Ct,3,h,683500.0,13.8,3018,1,1,530,Hobsons Bay City Council,-37.8594,144.817,Western Metropolitan
241,Altona,1/136 Queen St,2,u,580000.0,13.8,3018,1,1,225,Hobsons Bay City Council,-37.8696,144.827,Western Metropolitan
242,Altona,173 Queen St,3,h,1335000.0,13.8,3018,1,4,777,Hobsons Bay City Council,-37.8697,144.8249,Western Metropolitan
243,Altona,1/265 Queen St,3,t,800000.0,13.8,3018,2,2,280,Hobsons Bay City Council,-37.8734,144.8143,Western Metropolitan
244,Altona,3/26 Grieve Pde,2,u,510000.0,13.8,3018,1,1,127,Hobsons Bay City Council,-37.8686,144.8182,Western Metropolitan
245,Altona,261 Queen St,4,h,1070000.0,13.8,3018,2,2,695,Hobsons Bay City Council,-37.8733,144.8147,Western Metropolitan
246,Altona,4/5 Rose St,2,u,425000.0,13.8,3018,1,2,115,Hobsons Bay City Council,-37.871,144.8185,Western Metropolitan
247,Altona,1/60 David St,3,u,605000.0,13.8,3018,2,2,230,Hobsons Bay City Council,-37.8646,144.827,Western Metropolitan
248,Altona,1A Merritt Ct,3,t,705000.0,13.8,3018,2,2,197,Hobsons Bay City Council,-37.8579,144.8181,Western Metropolitan
249,Altona,4/31 Millers Rd,2,u,391000.0,13.8,3018,1,1,0,Hobsons Bay City Council,-37.8678,144.8384,Western Metropolitan
250,Altona,111/112 Pier St,2,u,440000.0,13.8,3018,1,1,0,Hobsons Bay City Council,-37.8659,144.831,Western Metropolitan
251,Altona,24 Wren St,4,h,845000.0,13.8,3018,1,2,745,Hobsons Bay City Council,-37.8658,144.8155,Western Metropolitan
253,Altona,1/152 Blyth St,3,t,743000.0,13.8,3018,2,2,211,Hobsons Bay City Council,-37.8698,144.816,Western Metropolitan
255,Altona,4/57 Blyth St,3,u,730000.0,13.8,3018,2,1,69,Hobsons Bay City Council,-37.868,144.8286,Western Metropolitan
257,Altona,164 Maidstone St,3,h,635000.0,13.8,3018,1,4,625,Hobsons Bay City Council,-37.8611,144.8114,Western Metropolitan
258,Altona,3/25 Rayner St,2,u,620000.0,13.8,3018,1,1,168,Hobsons Bay City Council,-37.8676,144.8202,Western Metropolitan
259,Altona,3/46 Sargood St,2,u,447000.0,13.8,3018,1,1,137,Hobsons Bay City Council,-37.8655,144.8299,Western Metropolitan
260,Altona,1/57 Blyth St,3,u,730000.0,13.8,3018,2,1,70,Hobsons Bay City Council,-37.868,144.8287,Western Metropolitan
261,Altona,22 Fenfield St,3,h,678000.0,13.8,3018,1,2,606,Hobsons Bay City Council,-37.8608,144.8124,Western Metropolitan
262,Altona,5/8 David St,2,u,580000.0,13.8,3018,2,1,175,Hobsons Bay City Council,-37.8687,144.8268,Western Metropolitan
263,Altona,1/28 Seves St,3,h,712000.0,13.8,3018,1,2,363,Hobsons Bay City Council,-37.8674,144.8375,Western Metropolitan
264,Altona,27 McIntyre Dr,3,h,840000.0,13.8,3018,2,2,534,Hobsons Bay City Council,-37.86,144.8245,Western Metropolitan
265,Altona,4 Boyd St,3,h,980000.0,13.8,3018,1,2,724,Hobsons Bay City Council,-37.8672,144.817,Western Metropolitan
267,Altona,12 Spear Ct,3,t,605100.0,13.8,3018,2,0,265,Hobsons Bay City Council,-37.8583,144.8172,Western Metropolitan
268,Altona,185 Queen St,3,h,880000.0,13.8,3018,3,1,577,Hobsons Bay City Council,-37.8699,144.8235,Western Metropolitan
269,Altona,3/20 Mulga St,3,u,577000.0,13.8,3018,2,1,205,Hobsons Bay City Council,-37.8684,144.815,Western Metropolitan
271,Altona,51 Millers Rd,4,h,1030000.0,13.8,3018,1,0,797,Hobsons Bay City Council,-37.8663,144.8387,Western Metropolitan
272,Altona,2/119 Railway St N,3,u,605000.0,13.8,3018,1,2,181,Hobsons Bay City Council,-37.8659,144.822,Western Metropolitan
275,Altona,24 McIntyre Dr,3,h,753000.0,13.8,3018,2,2,529,Hobsons Bay City Council,-37.8612,144.8247,Western Metropolitan
276,Altona,104 Maidstone St,2,h,857000.0,13.8,3018,2,1,675,Hobsons Bay City Council,-37.8653,144.8129,Western Metropolitan
277,Altona,49 Bent St,3,h,1500000.0,13.8,3018,1,1,929,Hobsons Bay City Council,-37.8651,144.832,Western Metropolitan
278,Altona,5/57 Blyth St,3,u,730000.0,13.8,3018,2,1,70,Hobsons Bay City Council,-37.868,144.8285,Western Metropolitan
279,Altona,15 Kookaburra St,3,h,900000.0,13.8,3018,1,4,697,Hobsons Bay City Council,-37.871,144.8075,Western Metropolitan
280,Altona,219 Civic Pde,3,h,740000.0,13.8,3018,1,2,604,Hobsons Bay City Council,-37.8631,144.8195,Western Metropolitan
281,Altona,3 Curtin Ct,4,h,931000.0,13.8,3018,2,3,532,Hobsons Bay City Council,-37.8637,144.8365,Western Metropolitan
282,Altona,2/60 David St,2,h,535600.0,13.8,3018,1,1,154,Hobsons Bay City Council,-37.8646,144.8272,Western Metropolitan
284,Altona North,45 Hearn St,5,h,1085000.0,11.1,3025,3,6,592,Hobsons Bay City Council,-37.8388,144.8567,Western Metropolitan
285,Altona North,4 Knapp St,3,h,781000.0,11.1,3025,1,2,533,Hobsons Bay City Council,-37.8291,144.835,Western Metropolitan
288,Altona North,21 Hatherley Gr,3,h,750000.0,11.1,3025,1,3,554,Hobsons Bay City Council,-37.8449,144.85,Western Metropolitan
289,Altona North,3/66 Marion St,2,t,421000.0,11.1,3025,1,1,77,Hobsons Bay City Council,-37.8351,144.8529,Western Metropolitan
290,Altona North,153 Mills St,3,h,1405000.0,11.1,3025,1,3,655,Hobsons Bay City Council,-37.8338,144.8562,Western Metropolitan
292,Altona North,33 Carthy St,3,h,683000.0,11.1,3025,1,2,534,Hobsons Bay City Council,-37.8284,144.8355,Western Metropolitan
294,Altona North,16 Harris St,3,h,623000.0,11.1,3025,1,3,540,Hobsons Bay City Council,-37.8267,144.8368,Western Metropolitan
295,Altona North,1/5 Little St,3,h,720000.0,11.1,3025,2,1,0,Hobsons Bay City Council,-37.8379,144.8583,Western Metropolitan
299,Altona North,1/95 Mills St,3,h,588000.0,11.1,3025,1,1,328,Hobsons Bay City Council,-37.838,144.8555,Western Metropolitan
301,Altona North,5 Binns St,3,h,710000.0,11.1,3025,1,3,540,Hobsons Bay City Council,-37.8294,144.8378,Western Metropolitan
306,Altona North,25 Allan St,4,h,875000.0,11.1,3025,1,4,559,Hobsons Bay City Council,-37.8448,144.8529,Western Metropolitan
310,Altona North,21 Hatherley Gr,3,h,700000.0,11.1,3025,1,3,554,Hobsons Bay City Council,-37.8449,144.85,Western Metropolitan
313,Altona North,1/256 Mason St,2,t,640000.0,11.1,3025,1,1,252,Hobsons Bay City Council,-37.8397,144.8602,Western Metropolitan
314,Altona North,21 Allan St,4,h,650000.0,11.1,3025,1,4,558,Hobsons Bay City Council,-37.8451,144.8529,Western Metropolitan
