Suburb,Price,Rooms,Distance,Bathroom,Car,Landsize,BuildingArea,Propertycount,Postcode
Bellfield,820173.1,2.9,9.2,1.2,1.5,604.2,116.7,790.0,3081
Bentleigh,1299851.3,3.3,12.3,1.8,2.0,515.6,192.1,6795.0,3204
Bentleigh East,1131418.2,3.3,13.9,1.6,2.0,492.0,165.8,10969.0,3165
Berwick,808923.1,3.7,35.2,2.3,2.0,869.8,214.3,17093.0,3806
Black Rock,1427500.0,3.1,17.3,2.0,2.2,470.3,214.8,2866.0,3193
Blackburn,1335714.8,3.4,13.4,1.8,2.0,687.1,183.8,5713.0,3130
Blackburn North,1136710.5,3.4,13.4,1.7,1.7,585.6,167.7,2867.0,3130
Blackburn South,1120930.6,3.3,13.4,1.7,1.8,634.8,146.4,4387.0,3130
Bonbeach,1092884.6,3.5,27.0,1.8,2.2,585.6,176.1,2887.0,3196
Boronia,818895.2,3.3,25.0,1.6,2.1,981.7,139.3,9704.0,3155
Botanic Ridge,750000.0,4.0,34.7,2.0,2.0,629.0,223.0,1240.0,3977
Box Hill,1340546.3,3.2,12.3,1.6,1.7,492.9,172.2,4605.0,3128
Braybrook,692397.5,3.0,9.9,1.4,1.6,591.2,120.6,3589.0,3019
Briar Hill,799975.0,3.0,16.1,1.6,1.4,619.9,158.5,1390.0,3088
Brighton,1984226.9,3.2,10.9,2.0,2.0,466.0,216.1,10579.0,3186
Brighton East,1648418.4,3.5,10.5,2.1,2.1,554.7,210.8,6938.0,3187
Broadmeadows,561670.9,3.0,14.0,1.2,1.8,609.0,123.9,4294.0,3047
Brookfield,498500.0,3.5,29.8,2.0,2.7,673.0,179.0,3122.0,3338
Brooklyn,621345.7,2.6,8.8,1.4,1.6,421.7,140.2,962.0,3012
Brunswick,977988.8,2.6,5.2,1.3,1.1,336.8,122.2,11918.0,3056
Brunswick East,908891.4,2.4,4.3,1.4,1.2,279.3,114.2,5533.0,3057
Brunswick West,817656.8,2.6,5.6,1.2,1.5,366.1,117.3,7082.0,3055
Bulla,665000.0,3.0,22.9,1.0,5.0,,,271.0,3428
Bulleen,1170676.2,3.5,11.4,1.9,1.9,602.4,335.1,4480.0,3105
Bullengarook,916000.0,4.0,45.9,2.2,2.0,64499.7,283.0,249.0,3437
Bundoora,804402.6,3.5,12.1,1.8,1.9,550.5,200.8,10175.0,3083
Burnley,1171750.8,2.3,2.8,1.3,1.0,236.1,101.5,438.0,3121
Burnside,620371.4,3.5,14.8,2.0,2.1,577.3,177.1,1607.0,3023
Burnside Heights,619200.0,3.4,14.8,2.1,2.0,466.0,201.6,1686.0,3023
Burwood,1230676.2,3.5,11.1,1.8,1.8,617.6,166.0,5678.0,3125
Burwood East,1093445.0,3.4,14.7,1.7,1.8,532.8,163.6,4048.0,3151
Cairnlea,734160.0,3.7,14.8,2.2,2.0,497.0,230.8,2674.0,3023
Camberwell,1861132.9,3.4,7.8,2.0,2.0,607.8,215.6,8920.0,3124
Campbellfield,516411.8,3.2,15.6,1.3,2.7,590.9,168.5,1889.0,3061
Canterbury,2386270.6,3.5,8.7,2.0,2.0,710.5,224.5,3265.0,3126
Carlton,1171192.9,2.5,1.7,1.5,1.0,425.1,106.8,6786.0,3053
Carlton North,1437973.7,2.7,3.3,1.3,0.6,270.5,129.4,3106.0,3054
Carnegie,911126.8,2.5,10.9,1.5,1.4,349.1,124.0,7822.0,3163
Caroline Springs,614555.6,3.5,14.8,2.2,2.1,416.8,201.0,7719.0,3023
Carrum,739625.0,3.0,31.2,1.3,1.9,457.9,126.1,1989.0,3197
Carrum Downs,550543.5,3.3,34.9,1.7,1.9,596.0,167.4,8060.0,3201
Caulfield,763531.2,2.5,8.8,1.4,1.2,336.5,114.7,2379.0,3162
Caulfield East,1060263.2,2.8,8.8,1.4,1.4,549.2,166.5,608.0,3145
Caulfield North,966367.4,2.3,8.0,1.4,1.3,433.5,121.1,6923.0,3161
Caulfield South,1243309.5,3.0,9.0,1.7,1.8,434.1,154.6,5051.0,3162
Chadstone,992319.3,3.2,12.7,1.6,1.6,636.3,136.7,3582.0,3148
Chelsea,856878.8,2.9,27.0,1.5,1.9,494.0,125.1,3906.0,3196
Chelsea Heights,746420.5,3.4,27.0,1.9,1.9,547.1,213.7,2076.0,3196
Cheltenham,1026462.1,3.2,17.9,1.7,2.1,532.3,151.1,9758.0,3192
Chirnside Park,763664.7,3.2,27.1,1.9,2.0,651.1,168.3,3789.0,3116
Clarinda,925410.5,3.5,17.5,1.6,2.0,1084.7,194.7,2727.0,3169
Clayton,1139453.9,3.4,16.7,1.5,1.8,617.1,130.8,5837.0,3168
Clayton South,849954.5,3.0,17.5,1.3,1.8,581.8,116.6,4734.0,3169
Clifton Hill,1242391.9,2.7,3.5,1.4,0.9,202.9,126.2,2954.0,3068
Clyde North,633000.0,3.8,43.4,2.0,2.0,,117.0,2987.0,3978
Coburg,926926.2,2.9,7.3,1.4,1.5,386.1,135.8,11204.0,3058
Coburg North,817229.2,3.0,8.1,1.4,2.1,456.0,127.6,3445.0,3058
Coldstream,630000.0,3.0,33.0,2.0,6.0,859.0,,810.0,3770
Collingwood,913892.5,2.2,1.8,1.4,1.0,658.3,95.5,4553.0,3066
Coolaroo,476000.0,3.2,17.4,1.1,1.4,596.0,114.7,1124.0,3048
Craigieburn,566173.5,3.5,20.6,1.9,1.8,496.3,161.0,15510.0,3064
Cranbourne,639455.3,3.6,34.7,1.8,2.2,1145.7,171.1,7680.0,3977
Cranbourne East,440000.0,3.0,34.7,,,,,5462.0,3977
Cranbourne North,605000.0,3.8,34.7,1.8,2.3,569.5,157.5,6464.0,3977
Cranbourne West,581812.5,3.2,34.7,2.3,2.7,564.0,123.0,4939.0,3977
Cremorne,1022947.4,2.3,2.5,1.2,1.1,244.1,114.4,1123.0,3121
Croydon,872814.3,3.3,23.0,1.6,2.1,890.7,177.3,11925.0,3136
Croydon Hills,967634.6,3.8,23.0,2.1,2.2,757.6,189.6,1705.0,3136
Croydon North,830422.7,3.4,23.0,1.8,2.1,1065.7,167.2,2985.0,3136
Croydon South,894454.5,3.3,23.0,1.5,1.7,635.9,162.0,1863.0,3136
Dallas,501820.2,3.2,14.0,1.3,2.3,615.2,123.2,2246.0,3047
Dandenong,608154.8,3.0,24.7,1.4,2.1,631.6,145.2,10894.0,3175
Dandenong North,648254.5,3.3,24.7,1.6,2.0,593.6,140.9,8322.0,3175
Darley,380000.0,3.0,37.5,1.0,3.0,699.0,,2992.0,3340
Deepdene,2001785.7,3.7,7.9,2.0,2.0,979.7,303.0,892.0,3103
Deer Park,613743.9,3.3,14.8,1.4,2.4,602.2,157.4,6388.0,3023
Delahey,571763.2,3.3,18.0,1.8,1.9,493.2,134.1,2898.0,3037
Derrimut,762733.3,4.1,14.7,2.1,2.1,592.0,235.0,2276.0,3030
Diamond Creek,759980.8,3.4,21.8,2.0,2.0,754.3,171.3,4258.0,3089
Diggers Rest,476250.0,3.5,27.7,1.8,1.6,10584.0,174.8,1184.0,3427
Dingley Village,889644.4,3.4,22.2,1.9,2.2,627.1,182.5,3940.0,3172
Docklands,800000.0,2.4,1.7,1.8,1.6,26.2,133.0,4707.0,3008
Doncaster,1269556.9,3.6,13.3,2.0,1.9,595.8,191.8,9028.0,3108
Doncaster East,1288410.7,3.7,14.3,2.0,2.0,653.3,188.8,10999.0,3109
Donvale,1336622.0,3.8,16.1,2.0,2.1,1227.4,196.6,4790.0,3111
Doreen,577614.3,3.4,25.9,2.0,2.1,433.2,182.0,7254.0,3754
Doveton,522973.7,3.0,28.8,1.1,2.0,633.2,100.4,3533.0,3177
Eaglemont,1638325.0,3.4,9.7,1.9,1.8,774.5,215.9,1651.0,3084
East Melbourne,1374430.6,2.1,1.4,1.5,1.1,239.2,120.9,3040.0,3002
Edithvale,881846.2,3.0,27.0,2.0,2.0,506.8,165.3,2546.0,3196
Elsternwick,1258353.4,2.8,8.0,1.6,1.5,434.2,173.9,4898.0,3185
Eltham,951588.5,3.5,18.0,1.9,1.9,892.7,185.0,6990.0,3095
Eltham North,895343.0,3.8,18.0,2.1,2.2,900.0,200.9,2346.0,3095
Elwood,991924.1,2.3,7.5,1.4,1.2,347.3,118.3,8989.0,3184
Emerald,675666.7,3.5,36.9,2.5,2.0,3344.2,77.9,2259.0,3782
Endeavour Hills,739840.9,3.7,28.5,2.1,2.4,687.5,194.5,8443.0,3802
Epping,588934.6,3.3,19.6,1.7,1.9,488.7,158.9,10926.0,3076
Essendon,1084903.0,3.0,7.8,1.6,1.7,437.5,160.5,9264.0,3040
Essendon North,822418.6,2.6,8.7,1.5,1.4,746.9,124.1,1308.0,3041
Essendon West,1106600.0,3.3,9.0,1.8,1.7,494.0,196.5,588.0,3040
Eumemmerring,599333.3,3.3,28.8,2.0,2.0,899.0,,845.0,3177
Eynesbury,700000.0,4.0,29.8,2.0,3.0,,241.0,852.0,3338
Fairfield,1076811.1,2.7,5.8,1.4,1.6,358.7,120.8,2970.0,3078
Fawkner,671787.8,3.0,12.7,1.3,1.9,547.3,127.4,5070.0,3060
Ferntree Gully,786062.3,3.4,24.8,1.7,2.2,799.3,194.3,10788.0,3156
Ferny Creek,690000.0,3.0,29.5,1.0,2.0,,,604.0,3786
Fitzroy,1274792.5,2.5,1.9,1.5,1.0,4704.4,117.3,5825.0,3065
Fitzroy North,1288713.1,2.6,3.5,1.4,0.9,550.0,172.1,6244.0,3068
Flemington,841887.8,2.3,4.0,1.2,0.9,217.5,103.4,3593.0,3031
Footscray,718205.9,2.5,5.8,1.2,1.3,384.3,100.5,7570.0,3011
Forest Hill,1010910.0,3.3,15.4,1.5,1.6,554.7,174.1,4385.0,3131
Frankston,666630.9,3.1,38.0,1.5,2.1,685.9,134.5,17055.0,3199
Frankston North,507000.0,3.1,36.9,1.1,2.0,617.0,106.9,2500.0,3200
Frankston South,944050.0,3.5,38.0,1.8,2.3,1359.8,327.9,7566.0,3199
Gardenvale,925000.0,2.4,8.4,1.8,1.8,312.8,135.9,534.0,3185
Gisborne,680195.7,3.5,45.9,2.1,2.3,5955.7,190.6,3376.0,3437
Gisborne South,1140000.0,3.5,45.9,2.0,6.0,40468.5,230.0,290.0,3437
Gladstone Park,657960.0,3.5,12.9,1.6,2.1,553.6,141.0,3285.0,3043
Glen Huntly,715500.0,2.2,10.3,1.3,1.2,379.7,112.8,2403.0,3163
Glen Iris,1553237.8,3.1,8.3,1.8,1.9,563.6,196.9,10412.0,3146
Glen Waverley,1333909.2,3.7,16.7,2.1,1.9,667.7,228.6,15321.0,3150
Glenroy,661672.2,2.9,12.2,1.3,2.1,583.1,126.1,8870.0,3046
Gowanbrae,721872.1,3.4,13.3,2.0,1.9,456.7,184.1,1071.0,3043
Greensborough,817436.4,3.3,16.1,1.7,1.9,652.6,161.3,8524.0,3088
Greenvale,753893.3,4.0,20.4,2.3,2.4,884.1,258.7,4864.0,3059
Guys Hill,,4.0,39.0,3.0,6.0,,0.0,129.0,3807
Hadfield,700550.7,3.0,11.8,1.4,2.0,542.0,137.5,2606.0,3046
Hallam,713722.2,3.0,32.3,1.5,2.6,909.2,132.6,3728.0,3803
Hampton,1627310.2,3.2,13.7,1.9,1.9,612.7,199.2,5454.0,3188
Hampton East,1096183.9,3.1,14.2,1.7,1.8,502.1,357.6,2356.0,3188
Hampton Park,577600.0,3.4,33.3,1.7,2.0,560.2,151.0,8256.0,3976
Hawthorn,1238074.2,2.5,4.9,1.5,1.4,522.5,143.9,11308.0,3122
Hawthorn East,1433302.8,2.8,6.9,1.7,1.7,479.5,164.7,6482.0,3123
Healesville,688000.0,3.5,45.2,2.0,3.0,724.0,156.6,3307.0,3777
Heatherton,769600.0,2.6,18.7,1.0,2.0,619.0,,1048.0,3202
Heathmont,966817.1,3.4,21.3,1.8,1.8,697.3,165.6,3794.0,3135
Heidelberg,951797.5,3.0,9.9,1.6,1.7,713.5,143.9,2890.0,3084
Heidelberg Heights,770105.3,2.8,9.8,1.4,1.6,496.7,116.4,2947.0,3081
Heidelberg West,659923.1,2.7,9.2,1.2,1.5,496.3,97.1,2674.0,3081
Highett,1146766.3,3.0,16.0,1.6,1.9,784.0,187.7,4794.0,3190
Hillside,672607.5,3.9,18.0,2.2,2.1,772.4,197.1,5556.0,3037
Hopetoun Park,,6.0,37.5,3.0,10.0,33000.0,,242.0,3340
Hoppers Crossing,565456.6,3.4,18.4,1.7,2.3,695.7,152.0,13830.0,3029
Hughesdale,1053608.3,3.0,12.7,1.6,1.8,422.3,137.8,3145.0,3166
Huntingdale,946254.5,3.0,12.3,1.3,2.3,566.4,109.0,768.0,3166
Hurstbridge,695000.0,4.0,26.1,2.0,2.0,909.5,225.0,1345.0,3099
Ivanhoe,1214617.6,3.0,7.9,1.6,1.5,475.3,170.3,5549.0,3079
Ivanhoe East,1769047.6,3.3,8.4,1.8,1.7,749.4,238.1,1554.0,3079
Jacana,524791.7,3.0,14.2,1.1,1.6,616.5,103.5,851.0,3047
Kalkallo,615000.0,3.0,20.6,1.0,1.0,2023.0,,121.0,3064
Kealba,580250.0,3.6,14.6,1.8,2.2,562.6,190.4,1202.0,3021
Keilor,807875.0,3.9,14.5,2.0,2.2,627.4,247.5,2339.0,3036
Keilor Downs,672432.6,3.4,15.5,1.8,2.4,702.7,180.5,3656.0,3038
Keilor East,836265.6,3.3,12.3,1.7,1.8,559.7,166.8,5629.0,3033
Keilor Lodge,632600.0,3.2,15.5,2.0,1.6,668.3,221.5,570.0,3038
Keilor Park,675114.3,3.2,12.6,1.6,2.1,479.3,143.4,1119.0,3042
Kensington,850563.8,2.4,3.9,1.3,1.0,486.5,115.3,5263.0,3031
Kew,1796676.0,3.3,5.5,2.0,2.0,530.8,200.2,10331.0,3101
Kew East,1674408.2,3.4,7.4,1.8,2.2,737.9,186.1,2671.0,3102
Keysborough,822574.1,3.4,25.2,1.6,2.2,502.2,199.5,8459.0,3173
Kilsyth,735210.5,3.1,26.0,1.5,2.1,839.1,117.2,4654.0,3137
Kings Park,560733.3,3.4,14.0,1.6,2.1,549.4,123.0,2878.0,3021
Kingsbury,692791.7,3.1,12.2,1.4,1.4,504.4,133.2,1414.0,3083
Kingsville,867138.1,2.6,7.1,1.3,1.1,267.4,114.7,1808.0,3012
Knoxfield,874580.2,3.9,23.3,2.1,1.9,675.4,180.7,2949.0,3180
Kooyong,1698875.0,3.2,6.1,2.3,2.2,677.1,264.4,394.0,3144
Kurunjang,380653.8,3.4,31.7,1.7,1.8,768.7,153.2,3553.0,3337
Lalor,648584.3,3.2,16.3,1.3,2.2,572.2,154.8,8279.0,3075
Langwarrin,592500.0,3.3,41.0,1.9,2.4,1509.8,270.7,8743.0,3910
Laverton,538916.7,2.6,15.5,1.0,2.3,610.4,103.0,2004.0,3028
Lilydale,750833.3,3.4,29.9,1.8,2.2,961.7,125.0,6732.0,3140
Lower Plenty,866023.8,3.0,14.6,1.9,2.1,991.7,150.4,1624.0,3093
Lynbrook,613750.0,3.0,33.8,2.0,2.0,,,2322.0,3975
Lysterfield,730000.0,3.3,24.8,1.0,2.0,622.0,106.0,2126.0,3156
MacLeod,831085.9,3.0,12.7,,,,,4168.0,3085
Maidstone,711522.4,2.8,7.8,1.4,1.8,577.3,119.8,3873.0,3012
Malvern,2087618.6,3.0,6.8,1.8,1.7,407.3,185.9,4675.0,3144
Malvern East,1618581.4,3.2,10.0,1.8,1.9,513.3,178.8,8801.0,3145
Maribyrnong,860132.6,2.9,6.8,1.7,1.9,1187.0,146.7,4918.0,3032
McKinnon,1478283.9,3.2,11.4,1.6,2.0,496.0,142.4,2397.0,3204
Meadow Heights,484105.8,3.2,17.4,1.5,1.6,606.4,134.2,4704.0,3048
Melbourne,761599.3,2.0,1.7,1.3,0.8,246.8,70.8,17496.0,3000
Melton,434583.3,3.7,31.7,1.6,2.0,730.0,140.0,3600.0,3337
Melton South,423692.0,3.0,29.8,1.3,1.9,689.8,121.7,4718.0,3338
Melton West,443120.7,3.4,31.7,1.8,2.1,731.6,149.5,6065.0,3337
Mentone,967401.6,3.0,20.0,1.8,1.8,531.6,153.1,6162.0,3194
Menzies Creek,,4.0,32.6,1.0,,4038.0,,342.0,3159
Mernda,609566.2,3.6,25.9,2.0,2.0,460.3,176.5,5812.0,3754
Mickleham,743250.0,3.9,20.6,2.6,3.7,2155.7,276.0,1158.0,3064
Middle Park,2232148.1,3.0,3.5,1.6,0.9,224.2,160.4,2019.0,3206
Mill Park,654118.0,3.3,17.9,1.7,2.0,569.3,154.4,10529.0,3082
Mitcham,1060949.9,3.3,17.2,1.7,1.8,624.2,176.8,6871.0,3132
Monbulk,720000.0,4.0,34.1,2.0,2.0,1611.0,,1424.0,3793
Mont Albert,1502767.4,3.2,11.1,1.9,2.0,696.6,192.4,2079.0,3127
Montmorency,878335.1,3.2,16.2,1.7,1.9,763.0,165.5,3891.0,3094
Montrose,735000.0,3.5,28.8,2.0,2.0,853.0,139.0,2493.0,3765
Moonee Ponds,1126472.0,2.9,6.6,1.5,1.5,390.9,147.0,6232.0,3039
Moorabbin,998361.4,3.1,14.5,1.6,2.0,542.3,131.0,2555.0,3189
Mooroolbark,761948.7,3.6,26.5,1.8,2.1,885.9,144.2,8280.0,3138
Mordialloc,976000.0,3.0,21.5,1.8,1.9,508.3,208.4,3650.0,3195
Mount Evelyn,590750.0,3.2,31.6,1.2,1.2,1421.3,153.3,3532.0,3796
Mount Waverley,1372981.7,3.6,14.2,2.0,1.9,689.5,196.7,13366.0,3149
Mulgrave,1059182.8,3.5,18.8,1.8,2.0,633.2,186.8,7113.0,3170
Murrumbeena,1053537.1,2.8,11.1,1.5,1.6,519.7,141.2,4442.0,3163
Narre Warren,620218.8,3.4,34.1,1.8,2.1,720.1,168.4,9376.0,3805
New Gisborne,649375.0,3.6,48.1,1.8,2.0,780.0,164.0,849.0,3438
Newport,1018754.0,3.1,7.5,1.5,1.8,407.3,146.0,5498.0,3015
Niddrie,948485.1,3.0,10.8,1.6,1.5,485.5,186.1,2291.0,3042
Noble Park,651350.0,3.0,22.7,1.4,2.1,610.9,120.0,11806.0,3174
North Melbourne,872712.3,2.2,2.0,1.4,1.0,318.3,97.0,6821.0,3051
North Warrandyte,1084000.0,3.4,21.1,2.0,2.0,2353.7,185.3,1058.0,3113
Northcote,1239758.7,2.8,5.4,1.4,1.4,357.5,132.3,11364.0,3070
Notting Hill,1020722.2,3.4,16.7,1.7,2.1,623.4,227.0,902.0,3168
Nunawading,991903.2,3.2,15.4,1.7,1.8,582.3,150.3,4973.0,3131
Oak Park,804799.4,3.1,11.4,1.5,1.8,493.3,148.1,2651.0,3046
Oakleigh,1092538.5,3.2,13.3,1.6,1.8,522.1,156.6,3224.0,3166
Oakleigh East,1094482.1,3.3,12.3,1.7,2.0,630.9,121.5,2547.0,3166
Oakleigh South,1004042.3,3.3,15.1,1.6,2.1,550.1,153.6,3692.0,3167
Officer,594750.0,3.8,43.3,1.8,2.0,554.2,167.0,2768.0,3809
Olinda,,4.0,30.6,,,,,794.0,3788
Ormond,1123722.2,2.8,11.6,1.6,1.6,464.1,154.7,3578.0,3204
Pakenham,522933.3,3.6,47.3,1.8,2.2,698.9,215.6,17384.0,3810
Parkdale,1060496.9,2.9,21.5,1.8,2.0,716.8,148.9,5087.0,3195
Parkville,1447563.3,2.8,2.3,1.6,1.1,744.9,138.0,2309.0,3052
Pascoe Vale,760727.1,2.8,9.2,1.4,1.7,450.7,134.6,7485.0,3044
Patterson Lakes,723500.0,3.1,31.2,1.4,2.4,436.7,161.5,3351.0,3197
Plenty,1141000.0,2.5,20.1,2.0,2.0,1000.0,,777.0,3090
Plumpton,591000.0,3.5,23.8,2.0,2.0,477.0,178.0,1490.0,3335
Point Cook,659709.3,3.7,14.7,2.1,2.0,499.2,224.2,15542.0,3030
Port Melbourne,1273469.7,2.5,3.7,1.6,1.1,700.6,122.9,8648.0,3207
Prahran,1165938.7,2.3,4.5,1.4,1.1,327.3,115.5,7717.0,3181
Preston,877869.9,2.8,8.6,1.4,1.8,475.6,137.2,14577.0,3072
Princes Hill,1633264.7,2.7,3.6,1.4,0.9,793.6,173.6,1008.0,3054
Research,905833.3,3.7,18.0,1.8,1.5,2753.5,191.0,938.0,3095
Reservoir,691104.5,2.8,11.6,1.3,1.8,578.2,122.0,21650.0,3073
Richmond,1067584.5,2.4,2.5,1.4,1.1,463.3,106.0,14949.0,3121
Riddells Creek,793625.0,4.3,47.4,2.0,4.6,2335.8,836.5,1475.0,3431
Ringwood,945938.3,3.2,19.9,1.7,1.7,665.3,159.3,7785.0,3134
Ringwood East,918663.6,3.4,21.3,1.7,1.9,702.5,147.5,4407.0,3135
Ringwood North,951138.9,3.8,19.9,2.0,2.1,728.6,167.3,3619.0,3134
Ripponlea,756852.9,2.0,7.3,1.2,1.0,499.5,88.3,821.0,3185
Rockbank,623750.0,3.2,23.8,1.5,2.0,925.0,,538.0,3335
Rosanna,994283.0,3.2,10.3,1.6,1.8,595.5,150.0,3540.0,3084
Rowville,925600.0,3.9,23.5,2.1,1.9,656.9,224.0,11667.0,3178
Roxburgh Park,548408.1,3.6,20.6,2.0,1.9,488.0,170.6,5833.0,3064
Sandhurst,650000.0,4.0,34.7,2.5,2.2,637.0,213.8,1721.0,3977
Sandringham,1559589.0,3.3,15.2,2.0,1.8,543.5,201.3,4497.0,3191
Scoresby,994369.2,3.7,22.2,1.9,2.0,770.4,156.7,2206.0,3179
Seabrook,616500.0,3.4,15.5,1.8,2.0,529.3,136.3,1793.0,3028
Seaford,727437.5,3.3,35.4,1.6,1.8,653.1,165.4,8077.0,3198
Seaholme,1038194.4,3.4,11.7,1.7,2.7,530.4,206.4,852.0,3018
Seddon,968810.5,2.7,5.9,1.4,0.9,234.5,127.0,2417.0,3011
Silvan,1077500.0,3.5,34.6,2.0,2.5,57245.0,,457.0,3795
Skye,552674.5,3.5,34.7,1.5,2.5,539.5,252.0,2756.0,3977
South Kingsville,784641.7,2.9,8.3,1.6,1.8,353.4,130.5,984.0,3015
South Melbourne,1349624.2,2.6,2.0,1.6,0.9,296.0,121.5,5943.0,3205
South Morang,630094.4,3.6,20.5,2.1,2.1,506.7,196.6,7969.0,3752
South Yarra,1058338.0,2.1,3.0,1.4,1.1,699.9,107.6,14887.0,3141
Southbank,656474.6,2.1,1.0,1.4,0.9,1025.6,91.7,8400.0,3006
Spotswood,950319.1,3.0,7.1,1.4,1.7,427.9,145.1,1223.0,3015
Springvale,794092.1,3.1,20.8,1.3,2.1,629.5,113.2,7412.0,3171
Springvale South,734187.5,3.4,22.2,1.5,2.4,678.3,147.7,4054.0,3172
St Albans,609179.6,3.1,14.0,1.2,1.9,605.0,130.5,14042.0,3021
St Helena,940800.0,3.9,16.1,2.1,2.0,813.4,317.8,915.0,3088
St Kilda,842023.3,2.1,5.7,1.3,1.1,473.8,96.3,13240.0,3182
Strathmore,1213563.3,3.4,9.0,1.9,1.9,573.8,203.7,3284.0,3041
Strathmore Heights,872884.5,3.5,11.2,2.1,2.5,529.5,206.0,389.0,3041
Sunbury,539839.3,3.4,31.7,1.8,2.2,698.0,161.7,14092.0,3429
Sunshine,740240.7,3.0,11.7,1.2,1.7,480.9,137.1,3755.0,3020
Sunshine North,643824.8,3.2,12.1,1.2,1.8,560.3,158.9,4217.0,3020
Sunshine West,609090.0,3.2,12.1,1.4,2.1,592.6,136.0,6763.0,3020
Surrey Hills,1585291.0,3.4,10.7,1.9,1.9,610.3,205.7,5457.0,3127
Sydenham,576076.9,3.4,18.0,1.9,2.0,573.7,155.1,3640.0,3037
Tarneit,525047.3,3.5,18.4,2.0,2.1,431.6,155.4,10160.0,3029
Taylors Hill,691250.0,3.7,18.0,2.1,2.3,564.2,234.8,4242.0,3037
Taylors Lakes,748887.9,3.7,15.5,2.1,2.1,677.5,222.5,5336.0,3038
Tecoma,855000.0,3.5,30.4,2.0,2.0,938.0,,869.0,3160
Templestowe,1500606.4,4.0,15.5,2.3,2.1,1311.0,252.7,6202.0,3106
Templestowe Lower,1181310.7,3.7,13.2,2.0,2.1,672.9,188.7,5420.0,3107
The Basin,584550.0,3.0,27.0,1.2,1.6,923.2,102.0,1690.0,3154
Thomastown,629578.3,3.1,15.3,1.4,2.3,578.3,135.2,7955.0,3074
Thornbury,955739.8,2.5,6.7,1.4,1.5,372.6,119.7,8870.0,3071
Toorak,1655193.6,2.7,4.4,1.7,1.6,495.5,181.2,7217.0,3142
Travancore,1040766.7,2.6,4.8,1.5,1.5,2039.5,116.9,1052.0,3032
Truganina,524617.5,3.4,18.4,2.0,1.8,398.8,163.9,5811.0,3029
Tullamarine,601787.2,2.9,12.9,1.4,1.8,465.2,134.4,3296.0,3043
Upwey,825000.0,3.5,29.3,1.5,2.0,1596.5,195.0,2591.0,3158
Vermont,1023926.5,3.6,17.2,1.7,1.9,632.9,170.1,4181.0,3133
Vermont South,1218656.2,4.0,17.2,2.3,2.2,733.6,248.5,4280.0,3133
Viewbank,970398.0,3.6,11.4,1.9,1.9,637.0,183.9,2698.0,3084
Wallan,523363.6,3.8,44.2,1.8,2.3,2233.4,169.6,3988.0,3756
